"year","spring.tot.precip","spring.mean.min.temp","spring.mean.max.temp","spring.mean.temp","winter.tot.precip","winter.mean.min.temp","winter.mean.max.temp","winter.mean.temp","summer.tot.precip","summer.mean.min.temp","summer.mean.max.temp","summer.mean.temp","fall.tot.precip","fall.mean.min.temp","fall.mean.max.temp","fall.mean.temp"
"2013",207.3,5.281,15.008,9.762,338.7,1.751,6.419,3.658,100.1,12.513,25.095,18.557,106.8,4.036,12.866,8.047
"2014",234.7,5.499,14.893,9.818,329.2,0.317,6.514,2.931,57.5,12.153,25.228,18.429,283.4,5.693,13.26,9.114
"2015",146.9,5.7,16.424,10.682,420,3.003,9.163,5.647,54.6,12.156,26.692,19.166,219.4,4.588,12.811,8.086
"2016",212.6,6.343,17.18,11.417,612.8,2.017,7.912,4.664,58,12.359,25.172,18.291,497,6.225,12.308,8.905
"2017",311.6,4.97,13.941,9.111,353,-1.473,5.221,1.391,45.9,11.489,25.311,18.119,324.7,3.509,12.312,7.495
"2018",152.5,5.071,15.722,9.993,454.7,0.88,6.872,3.416,36,11.712,25.627,18.321,238.4,4.44,13.126,8.133
"2019",63.6,4.544,16.46,10.077,472.6,0.032,6.483,2.919,66.4,11.887,24.469,17.885,145.4,3.01,11.821,6.962
"2020",129.8,3.972,15.052,9.26,558,1.582,7.346,4.238,82.6,11.717,23.63,17.333,280.1,4.611,12.361,7.974
"2021",67,4.273,15.297,9.507,473.9,1.319,7.732,4.069,37.4,13.14,26.683,19.697,474.4,4.607,11.326,7.681
"2022",277,3.905,12.975,8.141,376.4,-0.362,6.055,2.536,79.2,12.781,25.512,18.789,152,3.63,14.001,7.865
"2023",123.7,4.86,15.261,9.703,367.3,0.398,6.077,3.015,47.2,12.209,26.555,19.298,261.2,4.065,12.646,7.579
"2024",149.4,4.089,15.085,9.262,439,2.058,7.598,4.646,94.2,12.06,25.094,18.337,303.8,4.885,12.273,8.153
"2025",210.8,4.936,15.605,10.006,344,0.394,7.115,3.316,NA,NA,NA,NA,NA,NA,NA,NA
